Party,Agriculture,Civic Organizations,Committee to Committee Transfers,Construction,Corporation,Health Care,Individual,Legal,Lobbying,Payday Loan,Real Estate,Self-Funding,Unions
Republican,10000,0,630163,25000,473676,151450,871563,65500,34573,30000,47000,666501,10002
Democrat,30000,13330,430045,177751,726522,290000,397208,964046,10000,0,37501,308497,500043
